Está en la mesa.	It's on the table.
Él es profesor.	He's a teacher.
Ella es alta.	She's tall.
No sé.	I don't know.
No está aquí.	It's not here.
No sé.	I don't know
¿De dónde eres?	Where are you from?
¿Dónde estás?	Where are you?
¿Quién eres?	Who are you?
¿Qué es esto?	What's this?
Eso no es para mí.	That's not for me.
Este no es mi libro.	This isn't my book.
Él no es mi hermano.	He's not my brother.
¿Está él con su hermana?	Is he with his sister?
El lápiz está debajo de la mesa.	The pencil is under the table.
¿Dónde está?	Where is it?
Él no está en mi lista.	He's not on my list.
Ella es muy agradable.	She's very nice / pleasant.
¿Qué día es hoy?	What day is (it) today?
¿Cómo está él?	How is he (doing)?
¿Es esa tu respuesta?	Is that your answer?
¿Está al lado de la puerta?	Is it next to the door?
¿Dónde está entonces?	Where is it then?
Soy la única persona aquí.	I'm the only person here.
Ella no es mi secretaria.	She's not my secretary.
¿Está ella detrás de ti?	Is she behind you?
Aquel es mi único teléfono.	That's my only telephone.
¿Qué es lo que está en la mesa?	What's on the table?
¿Quién está con él?	Who's with him?
¿Quién es ella?	Who's she?
¿Cómo está usted?	How are you?
¿Qué tal?	How are you doing?
Aquel no es para ella.	That's not for her.
¿Qué es lo que está en la caja?	What's in the box?
¿Cuál es tu opinión?	What's your opinion?
Eres muy bajo.	You're very short.
¿Dónde está París?	Where's Paris?
No estoy contento.	I'm not happy.
¿Estás listo?	Are you ready?
Es muy importante.	It's very important.
Esto no es interesante.	This isn't interesting.
¿Dónde está la ventana?	Where's the window?
¿Es ese tu perro?	Is that your dog?
Estoy detrás de ti.	I'm behind you.
Es fácil.	It's easy.
¿Está él aquí?	Is he here?
No es difícil.	It's not difficult.
¿De dónde es él?	Where's he from?
¿Es de la ciudad?	Is he from the city?
Es de un pueblo pequeño.	He's from a small town.
No es de una ciudad grande.	He's not from a big city.
Ella está delante de mí.	She's in front of me.
¿De qué color es?	What colour is it?
¿Es para mí?	Is it for me?
¿Quién está allí?	Who's there?
¿Quién es esa persona?	Who's that person?
¿Quién está delante de ella?	Who's in front of her?
Es mi problema.	It's my problem.
Ese es tu problema.	That's your problem.
Esta es la solución.	This is the solution.
Es un coche azul.	It's a blue car.
Es una casa grande.	It's a big house.
Es una lección difícil.	It's a difficult lesson.
Este es un informe importante.	This is an important report.
Aquello es un teléfono verde.	That's a green telephone.
¿Dónde está el coche rojo?	Where's the red car?
¿Qué es lo que está en el coche?	What's in the car?
¿Es esta tu respuesta?	Is this your answer?
¿Cuál es tu pregunta?	What's your question?
La pregunta es muy fácil.	The question is very easy.
¿Quién es el profesor?	Who's the teacher?
¿Eres tú el alumno?	Are you the student?
¿Dónde está tu cuaderno?	Where's your notebook?
Tu nombre no está en esta lista.	Your name's not on this list.
No lo sé.	I don't know.
¿Qué tal estás?	How are you doing?
Bien, gracias.	Fine, thank you.
Usted es el presidente.	You're the president.
Él está en aquella habitación.	He's in that room.
¿Dónde está la carta?	Where's the letter?
Está en el suelo.	It's on the floor.
No está en la pared.	It's not on the wall.
¿Qué es?	What is it?
¿Es una radio?	Is it a radio?
Ella está conmigo.	She's with me.
El calendario no está en la pared.	The calendar's not on the wall.
Está allí.	It's over there.
¿Cuál es tu nombre?	What's your name?
¿Cuál es su nombre? (de él)	What's his name?
¿Cuál es mi apellido?	What's my last name / surname?
¿Cuál es su dirección? (de ella)	What's her address?
Su casa es muy grande. (de él)	His house is very big.
Su hermano es muy alto. (de ella)	Her brother is very tall.
Tu padre es muy joven.	Your father is very young.
Esta es su última oportunidad. (de él)	This is his last chance.
¿Cómo está su madre? (de ella)	How's her mother?
¿Dónde está su coche? (de él)	Where's his car?
El avión pequeño es inglés.	The small plane is English.
El hombre alto es francés.	The tall man is French.
Su mujer es española.	His wife is Spanish.
Ella es de Madrid.	She's from Madrid.
Es de París.	He's from Paris.
¿Dónde está su casa? (de él)	Where's his house?
Está cerca de París.	It's near Paris.
¿Está su mujer contenta en Francia?	Is his wife happy in France?
Creo que sí.	I think so.
¿Es grande París?	Is Paris big?
¿Está lejos de aquí?	Is it far from here?
¿Es interesante su trabajo? (de él)	Is his job interesting?
¿Es difícil?	Is it difficult?
¿Es un trabajo importante?	Is it an important job?
¿Es importante su empresa?	Is his company important?
¿Es grande?	Is it big?
¿Está cerca de su casa? (de él)	Is it near his house?
Esto es un libro.	This is a book.
No es mi libro.	It's not my book.
Es muy caro.	It's very expensive.
El Rin es un río largo.	The Rhine is a long river.
El Miño es un río corto.	The Miño is a short river.
Aquel es un informe corto.	That's a short report.
Estoy contento con el resultado.	I'm happy with the result.
¿Está ella contigo?	Is she with you?
¿Con quién está?	Who's she with?
¿De dónde es?	Where's she from?
No soy tu jefe.	I'm not your boss.
Ella no es su mujer. (de él)	She's not his wife.
No eres su marido.	You're not her husband.
Esta no es mi dirección.	This isn't my address.
Mi dirección no está en tu lista.	My address isn't on your list.
Ese hombre es bueno.	That man is good.
Es un buen hombre.	He's a good man.
Ese perro es malo.	That dog is bad.
Es un perro malo.	It's a bad dog.
Es un avión viejo.	It's an old plane.
Ella es una chica joven.	She's a young girl.
Este es un juego fácil.	This is an easy game.
Soy una persona difícil.	I'm a difficult person.
Él es un director importante.	He's an important director.
El libro es pesado.	The book is heavy.
La historia es interesante.	The story is interesting.
La revista es aburrida.	The magazine is boring.
La película no es larga.	The movie's not long.
Ese no es su periódico. (de ella)	That's not her newspaper.
¿Qué es eso?	What's that?
¿Dónde está el perro pequeño?	Where's the small dog?
Esa es una buena pregunta.	That's a good question.
¿Es para ti?	Is it for you?
¿Es esta la última página?	Is this the last page?
¿Qué perro es grande, este o aquel?	Which dog is big, this one or that one?
¿Quién está en ese camión?	Who's in that truck / lorry?
¿Está el libro en tu bolsillo?	Is the book in your pocket?
Esa no es la respuesta correcta.	That's not the right answer.
Este es un juego difícil.	This is a difficult game.
Estoy contigo.	I'm with you.
¿Qué libro es fácil, este o aquel?	Which book is easy, this one or that one?
¿Es esa tu decisión final?	Is that your final decision?
¿Cómo está usted?	How do you do?
Esa no es la única alternativa.	That isn't the only alternative.
¿Quién está allí?	Who's there?
¿Quién es mi profesor?	Who's my teacher?
Es para ella.	It's for her.
Es para él.	It's for him.
¿Para quién es esto?	Who's this for?
¿Para quién es?	Who's it for?
¿Es aquello para mí?	Is that for me?
Él es una persona importante.	He's an important person.
Él es de Inglaterra.	He's from England.
Él está aquí ahora.	He's here now.
Él está con tu hermana.	He's with your sister.
Esto es para él.	This is for him.
¿Cuál es su nombre? (de ella)	What's her name?
¿Cuál es su dirección? (de ella)	What's her address?
¿Quién es su hermano? (de ella)	Who's her brother?
¿Quién está con ella ahora?	Who's with her now?
¿Dónde está ella ahora?	Where is she now?
¿Cómo está su padre? (de ella)	How's her father?
Tu problema no es importante.	Your problem isn't important.
¿Para quién es esta carta?	Who's this letter for?
Están aquí.	They're here.
¿Dónde están?	Where are they?
¿Están en el suelo?	Are they on the floor?
¿Son para ti o para mí?	Are they for you or for me?
Estamos con ellos.	We're with them.
¿Quiénes son?	Who are they?
No estamos contentos.	We're not happy.
No son mis cintas.	They're not my tapes.
Esas flores no son bonitas.	Those flowers aren't pretty.
Sus camisas no están limpias. (de él)	His shirts aren't clean.
Los coches rojos están detrás de mí.	The red cars are behind me.
Sus ojos son azules. (de ella)	Her eyes are blue.
¿Dónde están los niños?	Where are the children?
¿Están en casa?	Are they at home?
¿Están en la escuela?	Are they at school?
¿Cómo están?	How are they?
¿Cuáles son los problemas?	What are the problems?
¿Cuál es tu problema?	What's your problem?
Aquellos son tus cuadernos.	Those are your notebooks.
Estas lámparas son caras.	These lamps are expensive.
Mis notas son buenas.	My grades / marks are good.
Sus orejas son grandes. (de él)	His ears are big.
Sus hijos son altos. (de ella)	Her children are tall.
Estos números son erróneos.	These numbers are wrong.
Tus respuestas son correctas.	Your answers are right / correct.
¿Quiénes son aquellas personas?	Who are those people?
¿Son difíciles estos ejercicios?	Are these exercises difficult?
¿Qué son estos?	What are these?
¿Qué son?	What are they?
Somos de EE.UU.	We're from the USA.
¿De dónde sois?	Where are you from?
¿De dónde son?	Where are they from?
Estamos delante de ellos.	We're in front of them.
Ellas están al lado de nosotros.	They're next to us.
Las ventanas están abiertas.	The windows are open.
Los días son largos ahora.	The days are long now.
Aquellas son las máquinas nuevas.	Those are the new machines.
¿Cuáles son tus planes?	What are your plans?
¿Son fáciles o difíciles?	Are they easy or difficult?
¿Dónde están nuestros nombres?	Where are our names?
Somos amigos.	We're friends.
Son buenos.	They're good.
Estos son caros.	These are expensive.
¿Son caros aquellos también?	Are those expensive too?
Esas manzanas son malas.	Those apples are bad.
Nuestros coches no son pequeños.	Our cars aren't small.
Las respuestas están bien.	The answers are correct.
Estáis locos.	You're crazy.
