Lo haré cuando pueda.	I'll do it when I can.
Le veré en cuanto pueda.	I'll see him as soon as I can.
¿Cuándo estarán aquí?	When will they be here?
No tengo ni idea.	I have no idea.
¿No sabes cuándo vienen?	Don't you know when they're coming?
Vendrán cuando yo les llame.	They'll come when I call them.
¿Cuándo vas a llamarles?	When are you going to call them?
Les llamaré cuando tenga tiempo.	I'll call them when I have time.
¿No tienes tiempo ahora?	Don't you have (any) time now?
Por supuesto que sí.	Of course I do.
Entonces, ¿por qué no lo haces?	Then, why don't you do it?
Vale, lo haré.	All right; I'll do it.
Les visitaremos mañana por la mañana.	We'll visit them tomorrow morning.
Él estará aquí un poco más tarde.	He'll be here a bit later.
¿Por qué no vuelves a llamar?	Why don't you call back?
¿Me harán muchas preguntas?	Will they ask me a lot of questions?
Ella vendrá cuando quiera.	She'll come when she wants to.
¿Cuándo lo recibirán?	When will they receive it?
Probablemente tendrá lugar aquí.	It'll probably take place here.
Las cosas cambiarán algún día.	Things will change someday.
Las cosas tienen que cambiar.	Things have to change.
¿Cuándo tendrá lugar?	When will it take place?
¿Cuándo empezará la reunión?	When will the meeting begin?
¿Cuándo terminará?	When will it be over?
¿Cuándo terminarás?	When will you be through / be finished?
No pasará nada.	Nothing will happen.
¿Cuánto tiempo estarán aquí?	How long will they be here?
¿Dónde se alojarán?	Where will they stay?
¿Quién les recogerá en el aeropuerto?	Who will pick them up at the airport?
¿Quién les traerá aquí cada día?	Who will bring them here every day?
¿Adónde les llevaremos el domingo?	Where will we take them on Sunday?
¿Qué haremos si no les gusta la comida?	What will we do if they don't like the food?
¿Cuánto dinero necesitarán?	How much money will they need?
No te preocupes; yo lo haré.	Don't worry; I'll do it.
¿Por qué lo quieres hacer tú?	Why do you want to do it?
Porque soy el único que sabe hacerlo.	Because I'm the only one who knows how to do it.
¿Sabes hacerlo de verdad?	Do you really know how to do it?
Nadie sabe más que yo.	Nobody knows more than I do / me.
¿Cuándo vas a hacerlo?	When are you going to do it?
Lo haré cuando me dejen.	I'll do it when they let me.
¿Cuándo crees que te dejarán?	When do you think they'll let you?
Me dejarán hacerlo esta noche.	They'll let me do it tonight.
¿Puedes decirme lo que vas a hacer?	Can you tell me what you're going to do?
Es un secreto que debo guardar.	It's a secret I must keep.
¿Qué pasará si alguien se entera?	What will happen if someone finds out?
Prefiero no pensar en ello.	I prefer not to think about it.
¿Qué pasará si te cogen?	What will happen if they catch you?
No me van a coger.	They're not going to catch me.
¿Qué harás si te ven?	What will you do if they see you?
Deja de hacerme tantas preguntas.	Stop asking me so many questions.
¿Quién quiere hacerlo primero?	Who wants to go first?
Yo lo haré primero.	I'll go first.
Tú no eres socio de este club.	You're not a member of this club.
¿Qué haces aquí?	What are you doing here?
Quiero hacerme socio.	I want to become a member.
¿Conoces todas las reglas?	Do you know all the rules?
Las aprenderé; no te preocupes.	I'll learn them; don't worry.
¿Estás de acuerdo con nuestras normas?	Do you agree with our rules?
Prometo que las acataré.	I promise that I'll obey them.
Entonces puedes ser socio si eso es lo que quieres.	Then you can be a member if that's what you want.
Tú sabes lo que quiero.	You know what I want.
No sé nada acerca de ti.	I don't know anything about you.
Aprenderás muchas cosas muy pronto.	You'll learn a lot of things very soon.
No hay nada que tú me puedas enseñar.	There's nothing you can teach me.
Tal vez no, pero ya veremos.	Maybe not, but we'll see.
¿Cuánto tiempo dura la clase?	How long does the class last?
Dura hasta la hora de comer.	It lasts until lunch time.
¿Por qué dura tanto tiempo?	Why does it last so long?
Porque las clases de danza siempre duran mucho tiempo.	Because dance classes always last a long time.
¿Te gusta la clase?	Do you like the class?
Me gusta más que ninguna otra cosa.	I like it more than anything else.
¿Por qué te gusta tanto?	Why do you like it so much?
Porque soy uno de los mejores.	Because I'm one of the best.
No lo haré.	I won't do it.
No te llevarán si no se lo pides.	They won't take you if you don't ask them.
¿Puedo estar en tu clase también?	Can I be in your class too?
Por supuesto que sí.	Of course you can.
¿Qué tengo que hacer?	What do I have to do?
¿Con quién tengo que hablar?	Who do I have to talk to?
¿Dónde tengo que ir?	Where do I have to go?
¿Cuánto tengo que pagar?	How much do I have to pay?
¿Con qué frecuencia tengo que venir?	How often do I have to come?
¿Quién será el profesor?	Who'll be the teacher?
¿Me tratará ella como a los demás?	Will she treat me like the rest?
¿Qué hará ella si no bailo bien?	What will she do if I don't dance well?
Espero que sea una persona paciente.	I hope she's a patient person.
¿Crees que me gustará la clase?	Do you think I'll like the class?
Estoy seguro de que te gustará.	I'm sure you'll like it.
¿Cómo puedes estar tan seguro?	How can you be so sure?
Porque lo sé todo.	Because I know everything.
Espero que tengas razón.	I hope you're right.
Casi siempre tengo razón.	I'm almost always right.
No llegaré allí hasta medianoche.	I won't get there until midnight.
No le va a gustar. (a él)	He's not going to like it.
¿Por qué no le va a gustar?	Why isn't he going to like it?
Nunca le gusta nada.	He never likes anything.
¿Crees que lo aprobará?	Do you think he'll approve it?
Hará lo que quiera.	He'll do whatever he wants.
¿Tomará una decisión pronto?	Will he make a decision soon?
Él siempre hace lo que quiere.	He always does what he wants.
No lo cancelarán si tú vas.	They won't cancel it if you go.
No iré si le incluyen a él.	I won't go if they include him.
¿Qué tienes en contra de él?	What do you have against him?
Nada en absoluto.	Nothing at all.
Entonces, ¿por qué no le vas a invitar?	Then, why aren't you going to invite him?
Porque no quiero.	Because I don't want to.
¿Cuándo estará listo el informe?	When will the report be ready?
Ya está preparado.	It's already ready.
¿Cuándo lo vas a mandar?	When are you going to send it?
Lo mandaré cuando usted me diga.	I'll send it when you tell me.
Lo puedes mandar cuando quieras.	You can send it whenever you want.
Lo creeré cuando lo vea.	I'll believe it when I see it.
¿Con qué frecuencia ves cosas así?	How often do you see things like that?
¿De qué clase de cosas estás hablando?	What kind of things are you talking about?
Esta será nuestra última oportunidad.	This will be our last chance.
¿Qué harás si no pasa nada?	What will you do if nothing happens?
Algo tiene que pasar.	Something has to happen.
Siempre pasa algo cuando voy allí.	Something always happens when I go there.
¿Quién me esperará cuando yo llegue?	Who will meet me when I arrive?
Se casarán este otoño.	They'll get married this fall / autumn.
¿Por qué no vendrán antes?	Why won't they come sooner?
Iré si vienes conmigo.	I'll go if you come with me.
Lo harán si les ayudas.	They'll do it if you help them.
No me quedaré aquí más tiempo.	I won't stay here any longer.
Me comeré el mío si te comes el tuyo.	I'll eat mine if you eat yours.
No te preocupes; lo escribiré bien.	Don't worry; I'll write it properly.
¿Por qué él no te enseñará su informe?	Why won't he show you his report?
No dejarán de mirarte.	They won't stop looking at you.
¿Por qué me mirarán tanto?	Why will they look at me so much?
Porque eso es lo que hacen.	Because that's what they do.
No te preocupes; tendré cuidado.	Don't worry; I'll be careful.
Yo lo lavo y tú lo secas.	I'll wash it and you dry it.
¿Quién será el primero en intentarlo?	Who'll be the first to try?
Pruébalo; te gustará.	Try it; you'll like it.
Sé que no me gustará en absoluto.	I know I won't like it at all.
¿Por qué no lo pruebas?	Why don't you try it?
Porque no quiero, ¿vale?	Because I don't want to, OK?
Se tarda tres horas en llegar ahí.	It takes three hours to get there.
¿Cuánto se tarda en volver?	How long does it take to get back?
Se tarda un poco más.	It takes a bit longer.
¿Por qué se tarda más?	Why does it take longer?
Porque tienes que conducir despacio.	Because you have to drive slowly.
¿Hace viento hoy?	Is it windy today?
Todavía no.	Not yet.
Nunca hace viento por la mañana.	It's never windy in the morning.
¿Cómo lo sabes?	How do you know?
Te lo diré en un minuto.	I'll tell you in a minute.
¿Me estás esperando a mí?	Are you waiting for me?
Vendrán si les invitas.	They'll come if you invite them.
No lo haré a menos que él esté aquí.	I won't do it unless he's here.
Siempre tengo que hacerlo yo.	I always have to do it.
No tendrán que llamarnos nunca.	They'll never have to call us.
A menudo ella tiene que convencerle.	She often has to convince him.
Tendrás que hacerlo mañana.	You'll have to do it tomorrow.
Todo el mundo tiene que trabajar.	Everyone has to work.
¿Quién tiene que encender el motor?	Who has to start the engine?
Él sabe lo que tiene que hacer.	He knows what he has to do.
¿Qué tiene que hacer?	What does he have to do?
¿Por qué tiene que verla a ella?	Why does he have to see her?
Él tiene que hacer lo que le digo.	He has to do what I tell him.
Él debe de ser rico.	He must be rich.
¿Por qué crees eso?	Why do you think that?
Porque tiene muchos coches.	Because he has a lot of cars.
Eso no significa que sea rico.	That doesn't mean he's rich.
Si tú lo dices.	If you say so.
Deben de estar en la primera planta.	They must be on the first floor.
¿Qué te hace pensar eso?	What makes you think that?
Hay una luz encendida en la ventana.	There's a light on in the window.
Eso no quiere decir que haya alguien allí.	That doesn't mean there's someone there.
Él debe de tener muchos problemas.	He must have a lot of problems.
