Estoy dispuesto a cocinar la cena esta noche	I'm willing to cook dinner tonight
Janine está segura de que ganará	Janine is confident that she will win
Sue se sentía segura cuando entró a la entrevista	Sue felt confident when she walked into the interview
Janice no tiene la suficiente confianza en sí misma para pedir un ascenso	Janice is not confident enough to ask for a promotion. Janice isn't self-confident enough to ask for a promotion.
Me gustaría retirar cien libras de mi cuenta	I would like to withdraw a hundred pounds from my account
Mi hermano cumplió 50 años la semana pasada	My brother turned 50 last week
Apenas hay comida suficiente	There is barely enough food
Siempre animo a cualquiera que se plantee aprender un nuevo idioma	I would always encourage anyone considering learning a new language
Aquí tienes un plato de chocolate para animarte	Here's a plate of chocolate to cheer you up
Cuando intentas hablar otro idioma, lo mejor es dedicarse de lleno y aceptar que cometerás errores	When you're trying to speak a foreign language, it's best to just dive in and accept that you will make mistakes
La probabilidad de que te estrelles en un avión es muy baja	The likelihood that you'd crash in an airplane is very low.
Las probabilidades de ganar la lotería no son buenas	The odds of winning the lottery are not good
Estadísticamente hablando, es poco probable que muchos de estos niños vayan a la universidad.	Statistically speaking, it is unlikely that many of these children will go to university
Es probable que haga trampa	He is likely to cheat
Ian demandó a su empresa tras el accidente laboral que tuvo	Ian sued his company after the accident he had at work.
La subcontratación es cada vez más común en el comercio de hoy en día	Outsourcing is becoming increasingly common in today's business world
Últimamente ha habido inundaciones	There have been reports of flooding lately
Por último, asegúrense de no dejar sus cosas	Lastly, please make sure you don't leave your belongings behind
Por fin, he terminado de escribir ese informe	At last, I've finished writing that report.
No nos hemos visto mucho en los últimos años	We haven't seen each other much in recent years. We haven't seen much of each other in the last few years
Volvió más tarde y nos dijo que había encontrado sus llaves	He came back later and told us he'd found his keys
Si hay que escoger entre construir una biblioteca nueva y restaurar la vieja, prefiero lo segundo	If I have to choose between building a new library and restoring the old one, I prefer the latter.
En España el paro ronda los cinco millones de parados	Unemployment in Spain is around five million
Estoy en paro desde mayo	I've been unemployed since May
Estoy en el paro	I am unemployed
Hoy es fiesta nacional	Today is a bank holiday. Today is a public holiday
