Deberías habérmelo dicho.	You should have told me.
No tenía ni idea de que estabas enferma.	I had no idea you were ill.
Me enteré de ello a través de Juana.	I learned about it through Jane.
Menos mal que tropecé con ella.	It's a good thing I ran into her.
¿Qué te han dicho los médicos?	What did the doctors tell you?
¿Cómo te pasó eso?	How did that happen to you?
¿Cuándo saldrás del hospital?	When will you leave the hospital?
Si pudiera pagarlo, te llevaría a la Clínica Pérez.	If I could pay for it, I'd take you to the Pérez Clinic.
Mantenme al día de cómo vas.	Keep me up to date on how you're doing.
¡Vaya sorpresa!	What a surprise!
Tienes buen aspecto.	You look good.
Cambiemos de tema.	Let's change the subject.
No hablemos de enfermedades.	Let's not talk about illnesses.
Me deprimen.	They depress me.
Me deprimo fácilmente.	I get depressed easily.
¡Venga, anímate!	Come on, cheer up!
Háblame de verbos.	Talk to me about verbs.
¿Por qué quieres hablar de verbos?	Why do you want to talk about verbs?
¿No estás harto de practicar verbos?	Aren't you sick of practising verbs?
Depende de qué verbos practiquemos.	It depends on what verbs we practise.
¿No hemos cubierto todos los verbos?	Haven't we covered all the verbs?
No hemos visto el condicional.	We haven't seen the conditional.
Pero el condicional es sencillo.	But the conditional is simple.
Quizá lo es para ti.	Maybe it is for you.
Y para ti también.	And for you too.
Me lío con ese tiempo verbal.	I get mixed up with that verb tense.
Bueno, si te empeñas.	Okay, if you insist.
Te veo cansado.	You look tired.
¿Y tú no lo estarías después de lo que he hecho yo?	And wouldn't you after what I've done?
¿Qué has hecho?	What have you done?
Acabo de terminar de escribir más de 4.000 frases.	I've just finished writing more than 4,000 sentences.
¿Qué quieres decir?	What do you mean?
Quiero decir que todo hasta ahora ha sido fácil para mí.	I mean that everything up to now has been easy for me.
Te crees muy listo.	You think you're really smart.
Fallé muy pocos en el último libro.	I missed very few in the last book.
¿Estás buscando un reto?	Are you looking for a challenge?
Quiero algo que me empuje.	I want something to give me a push.
Quiero algo desafiante.	I want something challenging.
Quiero que me pongas a prueba.	I want you to test me.
Quiero que me hagas sudar.	I want you to make me sweat.
Quiero el inglés como tú lo hablas.	I want English like you speak it.
Pero los seis primeros libros contienen el inglés de uso corriente.	But the first six books contain normal English.
Entonces, ¿por qué me cuesta tanto entenderte cuando hablas?	Then why do I have so much trouble understanding you when you speak?
A lo mejor deberías limpiarte los oídos.	Maybe you should clean out your ears.
¿Ves? Acabas de usar un verbo compuesto.	You see? You've just used a phrasal verb.
Hay miles de esos verbos.	There are thousands of those verbs.
Enséñamelos.	Teach them to me.
Pero son imposibles de asimilar si no vives en el país.	But they're impossible to assimilate if you don't live in the country.
Acepto el reto.	I accept the challenge.
Vale, tú te lo has buscado.	Okay, you're asking for it.
Si yo supiera su nombre, le llamaría.	If I knew his name, I'd call him.
Búscalo en la guía telefónica.	Look it up in the telephone book.
Podría hacerlo si tuviera una guía telefónica.	I could do it if I had a telephone book.
Tu vecina probablemente tenga una.	Your neighbour probably has one.
¿Estás seguro?	Are you sure?
¿Quieres dejar de molestarme?	Would you quit bothering me?
¿Quieres que me vaya?	Do you want me to leave?
Quiero que te calles, eso es todo.	I want you to shut up, that's all.
¿Qué harías si yo desapareciera de la faz de la tierra?	What would you do if I disappeared from the face of the earth?
Saltaría de júbilo.	I'd jump for joy.
¡Muchas gracias!	Thanks a lot!
¡Vaya amigo!	What a friend!
Te estoy tomando el pelo.	I'm pulling your leg.
¿Desde cuándo eres un bromista?	Since when have you been a joker?
Siempre lo he sido.	I've always been one.
Esa es una faceta de tu carácter que nunca he visto.	That's a facet of your character I've never seen.
¿Crees que soy una persona seria?	Do you think I'm a serious person?
Eres una persona muy intensa.	You're a very intense person.
No me conoces.	You don't know me.
Habla con mi mujer, ella te lo dirá.	Talk to my wife; she'll tell you.
Bueno, si tú lo dices.	Okay, if you say so.
Ahora bien, ¿dónde estábamos?	Now then, where were we?
Estábamos con el condicional.	We were with the conditional.
¡Ah, sí! ¿Y qué harías si yo te apuntara con una pistola?	That's right! Now, what would you do if I pointed a gun at you?
Me pondría a temblar.	I'd start shaking.
¿Tendrías miedo de mí?	Would you be afraid of me?
No serías capaz de semejante cosa.	You wouldn't be capable of such a thing.
Tú tampoco.	Neither would you.
No hablemos de cosas así.	Let's not talk about things like that.
Esta conversación es un callejón sin salida.	This conversation is getting us nowhere.
No estamos llegando a ninguna parte.	We're not getting anywhere.
Puedo traducir con facilidad esas cosas.	I can translate those things with ease.
Tu corbata no hace juego con tu traje.	Your tie doesn't match your suit.
Ya sé que no.	I know it doesn't.
Entonces, ¿por qué la llevas puesta?	Then why are you wearing it?
Porque me gusta destacar.	Because I like to stand out.
La gente se burla de ti.	People make fun of you.
¡A mí qué me importa!	What do I care!
El chismorreo no me molesta.	Gossip doesn't bother me.
Me gano la vida vendiendo coches usados.	I make a living selling used cars.
A ese precio, es una auténtica ganga.	At that price, it's a real bargain.
Esto perjudica nuestra capacidad para competir.	This hampers our ability to compete.
Se me pinchó una rueda.	I had a flat tire / tyre.
No tenía rueda de repuesto.	I didn't have a spare tire / tyre.
Tardé una hora en resolver el problema.	It took me an hour to solve the problem.
Un camionero paró para ayudarme.	A truck / lorry driver stopped to help me.
Si no hubiera parado, aún estaría allí.	If he hadn't stopped, I'd still be there.
Menos mal que paró.	It's a good thing he stopped.
Menos mal que hay gente como él.	It's a good thing there are people like him.
Pasemos a la lista siguiente.	Let's go on to the following list.
¿Qué desea usted tomar?	What would you like to have?
Quiero un filete con patatas.	I want a steak and potatoes.
¿Cómo quiere su filete?	How do you want your steak?
Bien hecho, por favor.	Well done, please.
Poco hecho, por favor.	Rare, please.
En su punto.	Medium rare.
¿Quiere patatas fritas o una patata asada?	Would you like French fries / chips or a baked potato?
¿Me puede traer la cuenta, por favor?	Can you bring me the bill, please?
Nos ha cobrado algo que no pedimos.	You charged us for something we didn't order.
¿Pagará en metálico o con tarjeta?	Will you pay in cash or by card?
Su tarjeta ha caducado.	Your card is expired.
No aceptamos talones.	We don't accept checks / cheques.
Vuelvo en veinte minutos.	I'll be back in twenty minutes.
El accidente la dejó más débil.	The accident left her weaker.
Pero fortaleció sus ganas de vivir.	But it strengthened her will to live.
Sabía que nunca volvería a tener miedo.	She knew she'd never be afraid again.
Tendrás que dar marcha atrás para salir.	You'll have to back up to leave.
Ponlo en punto muerto para arrancar.	Put it in neutral to start.
Tienes que quitar el freno de mano.	You have to release the handbrake.
Tienes que usar el embrague para cambiar de marcha.	You have to use the clutch to change gears.
Mantén las dos manos en el volante.	Keep both hands on the steering wheel.
